,Spearman_allwords,adjacent_post,adjacent_tag,id,label,pmi_adjacent,root_verb
0,0.0419765538411135,higher,JJR,cf01.1.0,ref,-0.16,rates
1,0.1692602977464254,higher,JJR,cf01.1.1,post-adv,-0.16,rates
2,-0.21344401382322567,the,DT,cf01.2.0,ref,0.32,is
3,-0.23305236815398844,the,DT,cf01.2.1,dat-np-np,0.32,is
4,-0.12509911914815303,readily,RB,cf01.3.0,ref,0.08,could
5,0.12613124477737825,readily,RB,cf01.3.1,post-adv,0.08,could
6,-0.10510516689563033,probably,RB,cf01.4.0,ref,0.08,would
7,-0.17023173488670273,probably,RB,cf01.4.1,pre-adv,0.08,would
8,0.0,still,RB,cf01.6.0,ref,0.08,was
9,0.17796411807833973,still,RB,cf01.6.1,pre-adv,0.08,was
10,-0.011709328937974732,the,DT,cf01.7.0,ref,0.32,shared
11,-0.011709328937974732,the,DT,cf01.7.1,pre-adj2,0.32,shared
12,0.19602974926851974,a,DT,cf01.8.0,ref,0.32,becomes
13,0.19602974926851974,a,DT,cf01.8.1,pre-adj2,0.32,becomes
14,0.21542445885750341,a,DT,cf01.8.2,post-adv,0.32,becomes
15,0.2892284879645756,a,DT,cf01.8.3,post-adv,0.32,becomes
16,0.18587681404744102,a,DT,cf01.8.4,post-adj2,0.32,becomes
17,-0.1303418180412183,conveyed,VBN,cf01.11.0,ref,-0.28,was
18,-0.400731759722469,conveyed,VBN,cf01.11.1,post-adj2,-0.28,was
19,0.05143792931255179,there,RB,cf01.14.0,ref,0.08,was
20,0.036554873623133255,in,IN,cf01.14.1,post-adj2,0.21,was
21,0.07029409127879518,only,RB,cf01.16.0,ref,0.08,is
22,0.07029409127879518,fairly,RB,cf01.16.1,post-adj3,0.08,is
23,0.07029409127879518,however,RB,cf01.16.2,post-adj3,0.08,is
24,0.07029409127879518,only,RB,cf01.16.3,post-adj3,0.08,is
25,0.07029409127879518,however,RB,cf01.16.4,post-adj3,0.08,is
26,0.07029409127879518,fairly,RB,cf01.16.5,post-adj3,0.08,is
27,-0.16168394687448084,certain,JJ,cf01.20.0,ref,-0.16,are
28,-0.17024726653696828,certain,JJ,cf01.20.1,pre-adv,-0.16,are
29,0.9999999999999999,definitely,RB,cf01.26.0,ref,0.08,is
30,0.11648247504592495,definitely,RB,cf01.26.1,pre-adv,0.08,is
31,-0.16212655343433904,telling,VBG,cf01.28.0,ref,-0.28,was
32,-0.0755263069673183,telling,VBG,cf01.28.1,pre-adv,-0.28,was
33,0.17683321604017702,been,VBN,cf01.30.0,ref,-0.28,has
34,0.1593898776166141,been,VBN,cf01.30.1,pre-adv,-0.28,has
35,0.05086203526167688,that,IN,cf01.31.0,ref,0.21,demonstrated
36,0.08243387604746844,that,IN,cf01.31.1,post-adv,0.21,demonstrated
37,-0.04845910446191262,that,IN,cf01.31.2,pre-adv,0.21,demonstrated
38,-0.08015409246167828,the,DT,cf01.33.0,ref,0.32,brings
39,0.632455532033676,the,DT,cf01.33.1,post-adv,0.32,brings
40,0.09210659621488834,like,IN,cf01.40.0,ref,0.21,goes
41,0.09210659621488834,like,IN,cf01.40.1,pre-adj2,0.21,goes
42,-0.20291986247835694,referred,VBN,cf01.43.0,ref,-0.28,is
43,-0.34786262139146906,referred,VBN,cf01.43.1,post-adj2,-0.28,is
44,-0.11765789981659941,that,IN,cf01.49.0,ref,0.21,reveals
45,0.4504687313477795,that,IN,cf01.49.1,post-adv,0.21,reveals
46,0.15330384337553074,significant,JJ,cf01.52.0,ref,-0.16,is
47,0.04550408177530929,significant,JJ,cf01.52.1,pre-adv,-0.16,is
48,0.016035934914880975,bare,VB,cf01.55.0,ref,-0.28,laid
49,0.016035934914880975,bare,VB,cf01.55.1,pre-adj2,-0.28,laid
50,0.07460988895940301,give,VB,cf01.57.0,ref,-0.28,is
51,0.03197566669688701,give,VB,cf01.57.1,post-adj2,-0.28,is
52,0.3534488353963717,these,DT,cf01.58.0,ref,0.32,are
53,0.5113842024397106,these,DT,cf01.58.1,pre-adv,0.32,are
54,0.3534488353963717,these,DT,cf01.58.2,post-adj2,0.32,are
55,-0.0572888315779216,be,VB,cf01.59.0,ref,-0.28,may
56,-0.1801066691388083,be,VB,cf01.59.1,pre-adv,-0.28,may
57,0.49839190945765166,to,TO,cf01.61.0,ref,0.16,pays
58,-0.1660907574878622,to,TO,cf01.61.1,pre-adv,0.16,pays
59,-0.2033851338467502,here,RB,cf01.63.0,ref,0.08,note
60,-0.15525582736393143,here,RB,cf01.63.1,post-adv,0.08,note
61,0.06506530691504578,in,IN,cf02.3.0,ref,0.21,arrived
62,-0.014674303261691175,in,IN,cf02.3.1,pre-adv,0.21,arrived
63,-0.03100984840206437,on,IN,cf02.3.2,post-adj2,0.21,arrived
64,0.3877381965848981,her,PRP,cf02.4.0,ref,0.35,marked
65,0.0,her,PRP,cf02.4.1,post-adv,0.35,marked
66,0.43697479297663117,her,PRP,cf02.4.2,post-adj2,0.35,marked
67,-0.025971998988744107,to,TO,cf02.5.0,ref,0.16,was
68,0.04767413385754533,to,TO,cf02.5.1,pre-adv,0.16,was
69,-0.0351593727806808,to,TO,cf02.5.2,pre-adv,0.16,was
70,-0.20728042128913013,required,VBN,cf02.7.0,ref,-0.28,had
71,0.7610194341477616,required,VBN,cf02.7.1,post-adv,-0.28,had
72,0.2211472124318662,this,DT,cf02.13.0,ref,0.32,issued
73,0.20488132081403512,this,DT,cf02.13.1,post-adv,0.32,issued
74,0.13364548916667365,this,DT,cf02.13.2,pre-adv,0.32,issued
75,-0.5097970656333186,being,VBG,cf02.15.0,ref,-0.28,is
76,-0.09440686400617011,being,VBG,cf02.15.1,post-adj2,-0.28,is
77,0.046955665291540154,categorically,RB,cf02.18.0,ref,0.08,state
78,0.1168165331643194,categorically,RB,cf02.18.1,post-adv,0.08,state
79,-0.18401635773661942,begun,VBN,cf02.19.0,ref,-0.28,was
80,-0.3698106512967811,begun,VBN,cf02.19.1,post-adj2,-0.28,was
81,0.4546206046583175,the,DT,cf02.28.0,ref,0.32,was
82,0.4546206046583175,the,DT,cf02.28.1,pre-adj2,0.32,was
83,0.2727723627949905,the,DT,cf02.28.2,post-adj2,0.32,was
84,0.017700473578965852,that,IN,cf02.32.0,ref,0.21,knew
85,-0.14160378863172682,that,IN,cf02.32.1,post-adj2,0.21,knew
86,-0.026803913718395748,to,TO,cf02.35.0,ref,0.16,went
87,0.032207687309742744,to,TO,cf02.35.1,pre-adv,0.16,went
88,0.3689323936863109,not,RB,cf02.38.0,ref,0.08,was
89,0.14213213764528743,not,RB,cf02.38.1,pre-adv,0.08,was
90,0.3368165348543039,that,DT,cf02.48.0,ref,0.32,was
91,0.3368165348543039,that,DT,cf02.48.1,pre-adj2,0.32,was
92,-0.07737248572730174,been,VBN,cf02.49.0,ref,-0.28,had
93,-0.25275012004251907,been,VBN,cf02.49.1,post-adj2,-0.28,had
94,0.14479843732711584,come,VBN,cf02.50.0,ref,-0.28,had
95,0.1468165340146018,come,VBN,cf02.50.1,post-adv,-0.28,had
96,-0.39999999999999997,said,VBD,cf02.52.0,ref,-0.28,had
97,-0.14285714285714288,said,VBD,cf02.52.1,quote,-0.28,had
98,0.6,until,IN,cf02.57.0,ref,0.21,fire
99,0.0,,,cf02.57.1,post-adv,0.0,fire
100,0.5628843430992316,his,PRP$,cf02.61.0,ref,0.35,would
101,0.5389318178609666,his,PRP$,cf02.61.1,post-adj2,0.35,would
102,0.08588276869825542,that,IN,cf02.62.0,ref,0.21,decided
103,0.12598634188124616,that,IN,cf02.62.1,post-adv,0.21,decided
104,0.06673533951135316,that,IN,cf02.62.2,pre-adv,0.21,decided
105,0.5855606868380817,at,IN,cf02.64.0,ref,0.21,gazed
106,0.5855606868380817,at,IN,cf02.64.1,pre-adj2,0.21,gazed
107,0.1671185475523312,lights,NNS,cf02.65.0,ref,-0.02,were
108,-0.3768511731740915,lights,NNS,cf02.65.1,post-adv,-0.02,were
109,0.0,,,cf02.66.0,ref,0.0,thought
110,0.0,he,PRP,cf02.66.1,quote,0.35,thought
111,0.3098151471767771,pressing,VBG,cf02.70.0,ref,-0.28,was
112,-0.9486832980505139,pressing,VBG,cf02.70.1,post-adv,-0.28,was
113,0.041520214903916094,happy,JJ,cf02.72.0,ref,-0.16,seemed
114,0.04679262314568322,happy,JJ,cf02.72.1,post-adj2,-0.16,seemed
115,-0.19999999999999998,gone,VBN,cf02.73.0,ref,-0.28,had
116,-0.39999999999999997,gone,VBN,cf02.73.1,post-adj2,-0.28,had
117,0.5,at,IN,cf02.88.0,ref,0.21,snatched
118,-1.0,savagely,RB,cf02.88.1,post-adj2,0.08,snatched
119,-0.014065725216218274,and,CC,cf02.101.0,ref,-0.03,slowed
120,-0.01432540014328692,and,CC,cf02.101.1,post-adj2,-0.03,slowed
121,0.01753630335700521,abandoned,VBN,cf02.106.0,ref,-0.28,was
122,-0.004614816672896108,abandoned,VBN,cf02.106.1,post-adv,-0.28,was
