,Spearman_allwords,adjacent_post,adjacent_tag,id,label,pmi_adjacent,root_verb
0,0.0,,,wsj_0003.1.0,ref,0.0,reported
1,0.0,researchers,NNS,wsj_0003.1.1,quote,-0.02,reported
2,0.0,,,wsj_0003.2.0,ref,0.0,said
3,0.0,,,wsj_0003.2.1,post-adv,0.0,said
4,0.0,researchers,NNS,wsj_0003.2.2,quote,-0.02,said
5,-0.3192559026492481,using,VBG,wsj_0003.3.0,ref,-0.28,stopped
6,-0.12770236105969923,using,VBG,wsj_0003.3.1,post-adj2,-0.28,stopped
7,-0.1465347729566285,in,IN,wsj_0003.4.0,ref,0.21,appear
8,-0.23247620445017966,in,IN,wsj_0003.4.1,pre-adv,0.21,appear
9,0.23190841426097936,no,DT,wsj_0003.7.0,ref,0.32,is
10,0.08696565534786727,no,DT,wsj_0003.7.1,post-adj2,0.32,is
11,0.02282177322938192,James,NNP,wsj_0003.9.0,ref,-0.31,said
12,0.0,,,wsj_0003.9.1,iquote,0.0,said
13,-0.18919975476410428,asbestos,NN,wsj_0003.11.0,ref,-0.02,said
14,-0.2282243818977685,asbestos,NN,wsj_0003.11.1,post-adj2,-0.02,said
15,0.0,,,wsj_0003.12.0,ref,0.0,said
16,0.9999999999999999,the,DT,wsj_0003.12.1,quote,0.32,said
17,0.0,,,wsj_0003.15.0,ref,0.0,said
18,0.9999999999999999,the,DT,wsj_0003.15.1,quote,0.32,said
19,0.0,Dr.,NNP,wsj_0003.16.0,ref,-0.31,said
20,0.0,,,wsj_0003.16.1,iquote,0.0,said
21,0.0,,,wsj_0003.17.0,ref,0.0,said
22,0.0,he,PRP,wsj_0003.17.1,quote,0.35,said
23,0.0,,,wsj_0003.19.0,ref,0.0,said
24,0.0,Dr.,NNP,wsj_0003.19.1,quote,-0.31,said
25,0.0,,,wsj_0003.21.0,ref,0.0,explained
26,0.0,Dr.,NNP,wsj_0003.21.1,quote,-0.31,explained
27,-0.08571428571428573,exposed,VBN,wsj_0003.24.0,ref,-0.28,were
28,0.08571428571428573,exposed,VBN,wsj_0003.24.1,post-adj2,-0.28,were
29,-0.019296229165230806,clouds,NNS,wsj_0003.27.0,ref,-0.02,described
30,-0.08897705670634205,clouds,NNS,wsj_0003.27.1,post-adv,-0.02,described
31,-0.05085133809309826,Darrell,NNP,wsj_0003.28.0,ref,-0.31,said
32,0.0,,,wsj_0003.28.1,iquote,0.0,said
33,0.5083494460664045,by,IN,wsj_0004.4.0,ref,0.21,lengthened
34,0.20866745821066388,to,TO,wsj_0004.4.1,post-adj3,0.16,lengthened
35,-0.2575045228982661,according,VBG,wsj_0004.4.2,post-adj3,-0.28,lengthened
36,0.3019018544324498,by,IN,wsj_0004.4.3,post-adj3,0.21,lengthened
37,0.04217746495747462,according,VBG,wsj_0004.4.4,post-adj3,-0.28,lengthened
38,-0.05105693126431138,to,TO,wsj_0004.4.5,post-adj3,0.16,lengthened
39,-0.23833746603996708,thought,VBN,wsj_0004.5.0,ref,-0.28,are
